OBJECTID,Código de localidad,Nombre de localidad,Dirección,Nombre del Sitio,Nombre del puesto,Número del puesto,Código del puesto,Long,Lat,CoorX,CoorY
859,10,ENGATIVA,Carrera 105 A No. 74 A - 15,Comunidad Colegio Fe y Alegr√≠a,Colegio Distrital Fe y Alegr√≠a,78,160011078,-74.11897249,4.708199285,-8250886.276,524705.1914
860,10,ENGATIVA,Calle 72 A No. 86 - 49 Parqueadero,Centro Comercial Punto 72,Centro Comercial Punto 72,79,160011079,-74.10605958,4.696919331,-8249448.817,523445.2715
66,9,FONTIBÓN,Carrera 99 Calle 17 A Esquina / Carrera 99 No. 17A - 62 *,Fontib√≥n,Colegio Parroquial San Pedro Claver,1,160010901,-74.14450538,4.672635173,-8253728.584,520732.9097
67,9,FONTIBÓN,Calle 20 D No. 96 G - 51,Villemar,Colegio Distrital Villamar El Carmen,2,160010902,-74.13918465,4.672594228,-8253136.283,520728.3365
68,9,FONTIBÓN,Calle 20 No. 82 - 52,Hayuelos C.C.,Centro Comercial Hayuelos,3,160010903,-74.13054684,4.664203605,-8252174.726,519791.1876
69,9,FONTIBÓN,Carrera 106 No. 18 - 77,Bel√©n,Colegio Distrital Integrado de Fontib√≥n,4,160010904,-74.14731025,4.678433946,-8254040.821,521380.5814
70,9,FONTIBÓN,Calle 17 D No. 123 B - 37,San Pablo La Perla,Colegio Distrital Antonio Van √úden,5,160010905,-74.15887107,4.688993233,-8255327.766,522559.9743
71,9,FONTIBÓN,Carrera 112 No. 23 - 05,Versalles,Colegio Distrital Internacional,6,160010906,-74.14523522,4.686837268,-8253809.829,522319.1678
72,9,FONTIBÓN,Carrera 101 No. 23 - 42,Veracruz,Colegio Distrital Rep√∫blica de Costa Rica,7,160010907,-74.13770942,4.679446399,-8252972.061,521493.664
73,9,FONTIBÓN,Calle 25 B No. 81 - 41 / Carrera 81C No. 24D 60 *,Modelia Sur,Sal√≥n M√∫ltiple Comunitario,8,160010908,-74.11924086,4.670049755,-8250916.151,520444.143
74,9,FONTIBÓN,Calle 25 B No. 83 - 14,Santa Cecilia - Modelia,Colegio Distrital Santa Cecilia,9,160010909,-74.12063459,4.671957665,-8251071.299,520657.2384
75,9,FONTIBÓN,Carrera 97 No. 16 J - 15,Centro A,Colegio Distrital Rodrigo Arenas Betancourt,10,160010910,-74.14464348,4.670627619,-8253743.957,520508.6849
76,9,FONTIBÓN,Calle 16 F BIS No. 102 - 70,La Laguna,Colegio Distrital Pablo Neruda,11,160010911,-74.14939245,4.672245606,-8254272.61,520689.3987
77,9,FONTIBÓN,Carrera 114 No. 17 C - 07,Batavia,Concentraci√≥n Escolar Batavia,12,160010912,-74.15300324,4.682683578,-8254674.562,521855.2312
78,9,FONTIBÓN,Carrera 104 B No. 22 J - 15 / Calle 23 No. 104 B - 15,La Giralda,Subdirecci√≥n de Integraci√≥n Social,13,160010913,-74.14173479,4.681725344,-8253420.163,521748.2039
79,9,FONTIBÓN,Calle 25 C Bis B No 96 - 56,Puerta de Teja,Colegio Distrital Costa Rica - Sede C,14,160010914,-74.12699896,4.68217956,-8251779.778,521798.9362
405,9,FONTIBÓN,Calle 23 C No. 69 B ‚Äì 01,Agustiniano - Salitre,Colegio Agustiniano Salitre,15,160010915,-74.1135309,4.655439625,-8250280.521,518812.3503
80,9,FONTIBÓN,Carrera 72 A No. 23 - 55,Tres Elefantes - La Esperanza,Parqueadero Almac√©n Los Tres Elefentes,16,160010916,-74.11834597,4.660055099,-8250816.532,519327.8449
81,9,FONTIBÓN,Carrera 136 No. 17 D - 52,Puente Grande,Colegio Unidad Educativa Prados de Alameda,17,160010917,-74.16704745,4.696836459,-8256237.955,523436.0151
82,9,FONTIBÓN,Calle 14 A No. 108 - 78,Zona Franca,Colegio Distrital Carlo Federici,18,160010918,-74.15965763,4.671739569,-8255415.325,520632.8791
83,9,FONTIBÓN,Calle 14 B No. 119 A - 17,Recodo,Sal√≥n Social Conjunto Residencial Fontib√≥n Reservado,19,160010919,-74.16613787,4.680477448,-8256136.702,521608.8238
613,9,FONTIBÓN,Carrera 99 No. 19 -72,Santa Teresa Centro,Colegio Santa Teresa Centro,20,160010920,-74.142523,4.673794,-8253507.906,520862.34
609,9,FONTIBÓN,Calle 19 No. 79 - 37,La Felicidad,Colegio Distrital La Felicidad,21,160010921,-74.1305907,4.656356406,-8252179.608,518914.7438
610,9,FONTIBÓN,Carrera 74 No. 24 B - 80,Navarra Modelia,Liceo Navarra,22,160010922,-74.117062,4.66582,-8250673.601,519971.7219
